role,title,item_id,type,owner,modified,views,url,evidence
KEEP-anchor,Crimes,bc108c0cb375461cb6645b47b80f6837,Feature Service,1975641302,2024-05-22,631,https://services1.arcgis.com/JYl0Hy0wQdiiV0qh/arcgis/rest/services/Crimes_2153d1ef33a0414291a8eb54b938507b/FeatureServer,URL matches Celbrica email
KEEP-anchor,CallsForService,44173f3345974fe79a01bfa463350ce2,Feature Service,1975641302,2024-11-20,1086,https://services1.arcgis.com/JYl0Hy0wQdiiV0qh/arcgis/rest/services/CallsForService_2153d1ef33a0414291a8eb54b938507b/FeatureServer,URL matches Celbrica email
KEEP-webmap,CCTV_ALPR_LOCATIONS_20240717,bdb62cbceded42e9bd88cfe337abe4a9,Web Map,1975641302,2024-07-17,7,,references deployment token
KEEP-webmap,24_SCPRA_Dec23_26,c4c870f3e6b8441e8ed0206437709638,Web Map,1975641302,2024-12-27,17,,references deployment token
KEEP-webmap,City of Hackensack Boundaries,75e07133ae7d4796982a336bad6b58a0,Web Map,1975641302,2024-05-13,16,,references deployment token
KEEP-webmap,Data Editor Map,3b5ca06f66d7479588de1a6a9d1946e2,Web Map,1975641302,2024-11-20,53,,references deployment token
KEEP-webmap,CCTV,adfc4a9699134ab8ae0b278a6c03958c,Web Map,1975641302,2024-05-23,15,,references deployment token
KEEP-webmap,Crime Problem Analyst,d5556e2f375c4adf8c0452e14f34177b,Web Map,1975641302,2025-07-03,20,,references deployment token
KEEP-webmap,Daily Calls For Service,7050d9c4a32441ce99f77e8531a13a74,Web Map,1975641302,2025-03-28,948,,references deployment token
KEEP-webmap,Problem Response Coordinator,ad7914e88a8f44eda3ce4153732afc3b,Web Map,1975641302,2023-04-13,3,,references deployment token
KEEP-webmap,24_SCRPA_Dec23_26_2024,8264717666dd468ba8bc67820199009d,Web Map,1975641302,2024-12-27,21,,references deployment token
KEEP-webmap,SCRPA_1223_1226,71ad1f1fc3a744149e1c69e3db9b92c1,Web Map,1975641302,2024-12-27,14,,references deployment token
KEEP-webmap,SCRPA_1202_1222,4aeecb5f9d1f45f2a8df75e79491dc29,Web Map,1975641302,2024-12-25,20,,references deployment token
KEEP-webmap,Daily Crimes,eb69ace0b9bc45229594e0c39827905f,Web Map,1975641302,2023-09-01,675,,references deployment token
KEEP-webmap,CCTV Site by Location with View Shed,9f968682025e42ecbe92740189500b32,Web Map,1975641302,2025-01-14,16,,references deployment token
KEEP-webmap,25_SCRPA_W2,d0aaa00a96d44f0cb451830431dbd0ac,Web Map,1975641302,2025-01-04,10,,references deployment token
KEEP-webmap,WC_Daily Calls For Service_2,e3e606c722954c01a22a3bf330ce5b57,Web Map,1975641302,2024-08-14,10,,references deployment token
KEEP-webmap,Crime Problem Dashboard,e3b69c7d65fe4fa791b4854fd80e46e9,Web Map,1975641302,2025-07-03,114,,references deployment token
KEEP-webmap,Crime Statistics,2e6743d930354d55aec5724af85b4603,Web Map,1975641302,2023-09-29,667,,references deployment token
KEEP-webmap,Daily Crimes,1a48761a64a94c4b96b178b62e98f095,Web Map,1975641302,2025-04-08,575,,references deployment token
KEEP-webmap,Evaluated Problem Responses,cd57c6680bab4eaea371ceddc80d379e,Web Map,1975641302,2023-04-13,3,,references deployment token
KEEP-webmap,cctvViewshedFromTeamsVideo,af9014a3199c4aacb8a9a06f54706460,Web Map,1975641302,2024-08-19,31,,references deployment token
KEEP-webmap,CCTVLocations_JNV,1af73523ffd94d6a849f3d208530d1b9,Web Map,1975641302,2024-08-22,175,,references deployment token
KEEP-webmap,Evaluated Responses Library,3e82306633764cd98d37db1e0110a267,Web Map,1975641302,2025-07-03,161,,references deployment token
KEEP-webmap,25_06_17_FDU,034ee843a2404a5ab376203025ac4869,Web Map,1975641302,2025-06-17,8,,references deployment token
KEEP-webmap,SCRPA_1223_1226_28_365,87b51f4d44de49999beb4e7293595603,Web Map,1975641302,2024-12-27,12,,references deployment token
KEEP-webmap,Problem Response Monitor,9da768cd569b46f1996760eb1b5cb1c2,Web Map,1975641302,2023-04-13,4,,references deployment token
KEEP-webmap,Calls for Service Statistics,da7b395c15bb40d6a0be34c01f5d785e,Web Map,1975641302,2026-02-24,633,,references deployment token
KEEP-webmap,Crime Problem Manager,25560bc48f5a42158c5ec6f370a2f81d,Web Map,1975641302,2025-09-05,195,,references deployment token
KEEP-webmap,Problem Response Successes,a9ab4e1b80be46ac9af635c3b21f3f35,Web Map,1975641302,2023-04-13,4,,references deployment token
KEEP-webmap,Daily Calls For Service,fb5f5b9545ba49f5abaa9dc95c803a30,Web Map,1975641302,2025-03-28,703,,references deployment token
KEEP-webmap,24-SCRPA for Dec23-26 - 2024-12-27-21-51-12,9cfaca405d96470ba9a963355766d3a3,Web Map,1975641302,2024-12-27,20,,references deployment token
KEEP-webmap,CCTV_Viewshed_Test_20240819,6232f54c9ea74451bb6ab8960061630f,Web Map,1975641302,2024-08-19,8,,references deployment token
KEEP-webmap,Problem Response Planner,0d0b9d8e74f84cc18bf286ba6574ffb4,Web Map,1975641302,2023-04-13,14,,references deployment token
KEEP-webmap,New Crime Problem,79e82e18b21e4f14b33c8d23dd9774b7,Web Map,1975641302,2023-04-13,26,,references deployment token
KEEP-app,New Crime Problem,e0613b8b5fed447c9af3fbe7d5cf5cc0,Web Mapping Application,1975641302,2023-04-13,21,https://HPD0223.maps.arcgis.com/apps/instant/sidebar/index.html?appid=e0613b8b5fed447c9af3fbe7d5cf5cc0,Web Mapping Application references keep list
KEEP-app,Daily Calls Dashboard,d9315ff773484ca999ae3e16758cbec1,Dashboard,1975641302,2025-03-28,441,,Dashboard references keep list
KEEP-app,Crime Problem Dashboard,7472557349d5437aa011ce7384b8ee14,Dashboard,1975641302,2025-09-23,56,,Dashboard references keep list
KEEP-app,SANDBOX_Daily_Calls_Dashboard,b7bb961bdee046f4af2653b13237669f,Dashboard,1975641302,2024-09-17,1,,Dashboard references keep list
KEEP-app,Crime Statistics Dashboard,f3d9bb1f8e1e467c9584c82cb2bfa637,Dashboard,1975641302,2024-08-22,324,,Dashboard references keep list
KEEP-app,Daily Activity Dashboard,f6a2722af1524083ab339e44297c38b6,Dashboard,1975641302,2024-08-22,318,,Dashboard references keep list
KEEP-app,Calls For Service Statistics Dashboard,64b5d06050264d0e935ac9f1825b074d,Dashboard,1975641302,2026-02-24,288,,Dashboard references keep list
KEEP-app,Daily Crimes Dashboard,1efe911c1735489b8b9e2b789689282b,Dashboard,1975641302,2024-09-18,272,,Dashboard references keep list
KEEP-app,HPD Data Editor App,8c238bf9b6cd4cc4a7572e37657e5e55,Web Experience,1975641302,2024-12-16,19,https://experience.arcgis.com/experience/8c238bf9b6cd4cc4a7572e37657e5e55/,Web Experience references keep list
KEEP-app,Crime Problem Manager,247a7d286a3442beb74c0d46c30beecd,Web Experience,1975641302,2026-02-18,106,https://experience.arcgis.com/experience/247a7d286a3442beb74c0d46c30beecd,Web Experience references keep list
